columna,tipo,media_referencia,media_actual,drift_score,drift_detectado
tipo_credito,numérica,5.4193,5.3921,0.005,No
fecha_prestamo,categórica,,,0.0003,No
capital_prestado,numérica,2430393.137,2443465.6133,0.0054,No
plazo_meses,numérica,10.5666,10.5965,0.0028,No
edad_cliente,numérica,43.9411,43.9662,0.0006,No
tipo_laboral,categórica,,,0.0233,No
salario_cliente,numérica,13985131.1284,24755798.6627,0.7702,Sí
total_otros_prestamos,numérica,5213691.1487,8630846.9845,0.6554,Sí
cuota_pactada,numérica,243641.0642,243562.2081,0.0003,No
puntaje,numérica,91.2512,90.9807,0.003,No
puntaje_datacredito,numérica,782.3872,777.0642,0.0068,No
cant_creditosvigentes,numérica,5.7629,5.6423,0.0209,No
huella_consulta,numérica,4.2193,4.2502,0.0073,No
saldo_mora,numérica,5.9201,12.0221,1.0307,Sí
saldo_total,numérica,46307.9064,45069.7606,0.0267,No
saldo_principal,numérica,40724.9191,39464.2821,0.031,No
saldo_mora_codeudor,numérica,0.3016,0.1633,0.4587,Sí
creditos_sectorFinanciero,numérica,2.8175,2.6925,0.0444,No
creditos_sectorCooperativo,numérica,0.2705,0.2682,0.0085,No
creditos_sectorReal,numérica,1.2935,1.3242,0.0238,No
promedio_ingresos_datacredito,numérica,2015038.8394,1982309.0626,0.0162,No
tendencia_ingresos,categórica,,,0.0088,No
Pago_atiempo,numérica,0.9517,0.9545,0.0029,No
